id,name_en,name_vi,flag,region
1,Afghanistan,,/images/afghanistan.png,Unknown
2,Albania,,/images/albania.png,Europe
3,Algeria,,/images/algeria.png,Africa
4,Andorra,,/images/andorra.png,Europe
5,Angola,,/images/angola.png,Africa
6,Antigua and Barbuda,,/images/antigua_and_barbuda.png,North America
7,Argentina,,/images/argentina.png,South America
8,Armenia,,/images/armenia.png,Asia
9,Australia,Úc,/images/australia.png,Oceania
10,Austria,Áo,/images/austria.png,Europe
11,Azerbaijan,,/images/azerbaijan.png,Asia
12,The Bahamas,,/images/the_bahamas.png,Unknown
13,Bahrain,,/images/bahrain.png,Asia
14,Bangladesh,,/images/bangladesh.png,Asia
15,Barbados,,/images/barbados.png,North America
16,Belarus,,/images/belarus.png,Europe
17,Belgium,B?,/images/belgium.png,Europe
18,Belize,,/images/belize.png,North America
19,Benin,,/images/benin.png,Africa
20,Bhutan,,/images/bhutan.png,Asia
21,Bolivia,,/images/bolivia.png,South America
22,Bosnia and Herzegovina,,/images/bosnia_and_herzegovina.png,Europe
23,Botswana,,/images/botswana.png,Africa
24,Brazil,,/images/brazil.png,South America
25,Brunei,,/images/brunei.png,Unknown
26,Bulgaria,,/images/bulgaria.png,Europe
27,Burkina Faso,,/images/burkina_faso.png,Africa
28,Burundi,,/images/burundi.png,Africa
29,Cambodia,Campuchia,/images/cambodia.png,Asia
30,Cameroon,,/images/cameroon.png,Africa
31,Canada,,/images/canada.png,North America
32,Cape Verde,,/images/cape_verde.png,Unknown
33,Central African Republic,C?ng hòa Trung Phi,/images/central_african_republic.png,Africa
34,Chad,,/images/chad.png,Africa
35,Chile,,/images/chile.png,South America
36,China,Trung Qu?c,/images/china.png,Asia
37,Colombia,,/images/colombia.png,South America
38,Comoros,,/images/comoros.png,Africa
39,Democratic Republic of the Congo,C?ng hòa Dân ch? Congo,/images/democratic_republic_of_the_congo.png,Unknown
40,Republic of the Congo,C?ng hòa Congo,/images/republic_of_the_congo.png,Africa
41,Costa Rica,,/images/costa_rica.png,North America
